date,producer_granule_id,download_url
2021-01-15,OMI-Aura_L3-OMDOAO3e_2021m0115_v003-2021m0117t025119.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m0115_v003-2021m0117t025119.he5
2021-02-15,OMI-Aura_L3-OMDOAO3e_2021m0215_v003-2021m0217t011552.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m0215_v003-2021m0217t011552.he5
2021-03-15,OMI-Aura_L3-OMDOAO3e_2021m0315_v003-2021m0317t031751.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m0315_v003-2021m0317t031751.he5
2021-04-15,OMI-Aura_L3-OMDOAO3e_2021m0415_v003-2021m0417t035230.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m0415_v003-2021m0417t035230.he5
2021-05-15,OMI-Aura_L3-OMDOAO3e_2021m0515_v003-2021m0517t160822.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m0515_v003-2021m0517t160822.he5
2021-06-15,OMI-Aura_L3-OMDOAO3e_2021m0615_v003-2021m0617t033102.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m0615_v003-2021m0617t033102.he5
2021-07-15,OMI-Aura_L3-OMDOAO3e_2021m0715_v003-2021m0717t032232.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m0715_v003-2021m0717t032232.he5
2021-08-15,OMI-Aura_L3-OMDOAO3e_2021m0815_v003-2021m0817t024253.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m0815_v003-2021m0817t024253.he5
2021-09-15,OMI-Aura_L3-OMDOAO3e_2021m0915_v003-2021m0917t042605.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m0915_v003-2021m0917t042605.he5
2021-10-15,OMI-Aura_L3-OMDOAO3e_2021m1015_v003-2021m1017t042859.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m1015_v003-2021m1017t042859.he5
2021-11-15,OMI-Aura_L3-OMDOAO3e_2021m1115_v003-2021m1117t022134.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m1115_v003-2021m1117t022134.he5
2021-12-15,OMI-Aura_L3-OMDOAO3e_2021m1215_v003-2021m1217t022359.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2021/OMI-Aura_L3-OMDOAO3e_2021m1215_v003-2021m1217t022359.he5
